parameter,output,metric,nominal_value,base_metric,perturbed_metric,relative_sensitivity
igf_lh_sensitivity_threshold,P4,AUC,0.5,55.24403546337959,55.173592482946525,-0.12751237276965394
lh_clearance,Follicle,AUC,2.0,19.277313178356533,19.301798674290087,0.1270171610898816
hp_e2_1_scale,P4,AUC,0.99,55.24403546337959,55.17418915141509,-0.12643231324184673
igf_lh_sensitivity_scale,P4,AUC,1.0,55.24403546337959,55.174895601615745,-0.12515353229341086
insulin_lh_scale,P4,AUC,1.05,55.24403546337959,55.313158106216406,0.12512236344978295
hm_p4_igf_scale,CL,AUC,2.5,44.47711481761466,44.53273244228976,0.12504773500522576
insulin_igf_scale,CL,AUC,0.4,44.47711481761466,44.53273244227044,0.1250477349617725
hm_p4_lh_scale,E2,AUC,2.71,16.842271088140375,16.821376185087406,-0.1240622653775167
hm_p4_igf_scale,Follicle,AUC,2.5,19.277313178356533,19.253498184408915,-0.12353896898015561
insulin_igf_scale,Follicle,AUC,0.4,19.277313178356533,19.253498184409416,-0.12353896897755703
insulin_igf_threshold,IGF1,AUC,15.0,29.40509795337114,29.368889666109858,-0.12313608789434616
hp_fsh_follicle_threshold,CL,AUC,1.497,44.47711481761466,44.42259523281555,-0.12257896003973193
hp_lh_follicle_scale,P4,AUC,3.49,55.24403546337959,55.31103717466987,0.12128315885738578
insulin_clearance,P4,AUC,2105.0,55.24403546337959,55.177683852564016,-0.12010637937475935
gnrh_syn,P4,AUC,2.75,55.24403546337959,55.177823461212355,-0.11985366675670275
hp_e2_lh_scale,Follicle,AUC,0.376,19.277313178356533,19.25467355792263,-0.11744178363674504
hp_e2_lh_scale,CL,AUC,0.376,44.47711481761466,44.52906281888127,0.11679714720622107
hp_e2_1_threshold,Follicle,AUC,0.648,19.277313178356533,19.29895411433344,0.11226116304011333
hm_ih_2_threshold,P4,AUC,0.118,55.24403546337959,55.1841206164214,-0.10845487020567658
insulin_fsh_threshold,CL,AUC,15.0,44.47711481761466,44.42924617978231,-0.10762532153590544
fsh_clearance,Follicle,AUC,2.73,19.277313178356533,19.25678710815602,-0.10647785825028569
hp_e2_lh_threshold,Follicle,AUC,0.243,19.277313178356533,19.297818912106585,0.10637236403398469
igf_basal_release,CL,AUC,0.4,44.47711481761466,44.52394984528493,0.10530140694225264
follicle_to_inhibin_scale,P4,AUC,1.41,55.24403546337959,55.30138957960115,0.10381956303604875
igf_basal_release,Follicle,AUC,0.4,19.277313178356533,19.258060578900555,-0.09987179892680136
oxt_clearance,P4,AUC,0.644,55.24403546337959,55.2989566835686,0.0994156558773028
hp_e2_oxt_scale,CL,AUC,1.59,44.47711481761466,44.43413119001592,-0.09664212207784866
hp_e2_lh_threshold,CL,AUC,0.243,44.47711481761466,44.434479425839356,-0.09585916701238208
p4_clearance,IGF1,AUC,1.41,29.40509795337114,29.43321666194975,0.09562528451086637
hp_fsh_follicle_threshold,E2,AUC,1.497,16.842271088140375,16.82630491625712,-0.09479821218706885
hp_oxt_pg_threshold,E2,AUC,1.087,16.842271088140375,16.858180612182164,0.09446186893993876
fsh_clearance,E2,AUC,2.73,16.842271088140375,16.826389394647336,-0.09429662668369276
glucagon_secretion_max,P4,AUC,70182.0,55.24403546337959,55.29531439685441,0.09282256997465574
hp_e2_oxt_scale,E2,AUC,1.59,16.842271088140375,16.826753865582504,-0.0921326018128177
hp_gnrh_lh_threshold,Follicle,AUC,0.69,19.277313178356533,19.294967561651376,0.09158114064705132
glucagon_glucose_threshold,CL,AUC,0.5,44.47711481761466,44.5176441643852,0.09112404646015697
hm_follicle_threshold,E2,AUC,0.322,16.842271088140375,16.82696693453169,-0.09086751738286565
insulin_igf_threshold,E2,AUC,15.0,16.842271088140375,16.857533576201078,0.09062013062745473
insulin_fsh_scale,E2,AUC,3.0,16.842271088140375,16.8575326584529,0.0906146815512993
fsh_syn_scale,E2,AUC,4.21,16.842271088140375,16.857532658451873,0.09061468154520312
blood_to_liver_max,Follicle,AUC,50.0,19.277313178356533,19.294718330172735,0.0902882660833871
insulin_fsh_threshold,E2,AUC,15.0,16.842271088140375,16.827082705579933,-0.09018013355180596
hm_p4_lh_threshold,P4,AUC,0.0269,55.24403546337959,55.29345104054957,0.08944961524893981
hp_e2_1_scale,Follicle,AUC,0.99,19.277313178356533,19.26008997697306,-0.08934440823843763
hepatic_glucose_release,P4,AUC,0.0684,55.24403546337959,55.29323860838683,0.08906508113415487
hp_fsh_follicle_scale,Follicle,AUC,0.562,19.277313178356533,19.294427877579412,0.08878155925845153
glucagon_glucose_threshold,P4,AUC,0.5,55.24403546337959,55.29304592288282,0.08871629143695976
hm_p4_lh_scale,CL,AUC,2.71,44.47711481761466,44.5157443595476,0.08685262542622377
gnrh_syn,Follicle,AUC,2.75,19.277313178356533,19.260636917950023,-0.08650718205497804
blood_usage_max,P4,AUC,1000.0,55.24403546337959,55.19716098104742,-0.0848498520048264
hm_p4_lh_scale,Follicle,AUC,2.71,19.277313178356533,19.261169892858238,-0.0837424040836747
hp_p4_follicle_threshold,Follicle,AUC,0.126,19.277313178356533,19.29323647711229,0.082601234977271
hepatic_glucose_release,CL,AUC,0.0684,44.47711481761466,44.51372342478012,0.08230886224426717
blood_usage_max,Glucose,AUC,1000.0,42.87980691299765,42.84507344437646,-0.08100192403306396
hp_oxt_pg_threshold,IGF1,AUC,1.087,29.40509795337114,29.38141719797926,-0.0805328226739151
glucagon_clearance,P4,AUC,350.87,55.24403546337959,55.199709654477985,-0.08023637036976956
hp_p4_follicle_threshold,IGF1,AUC,0.126,29.40509795337114,29.38190612572199,-0.07887009145803925
glucagon_secretion_max,CL,AUC,70182.0,44.47711481761466,44.51160244015684,0.07754015224144334
hp_e2_oxt_scale,IGF1,AUC,1.59,29.40509795337114,29.427651978486217,0.07670107119126884
hm_follicle_threshold,Follicle,AUC,0.322,19.277313178356533,19.262535937012547,-0.07665612529746274
hm_p4_igf_scale,P4,AUC,2.5,55.24403546337959,55.286121935806285,0.0761828350765482
insulin_igf_scale,P4,AUC,0.4,55.24403546337959,55.2861219357732,0.07618283501666324
hp_e2_oxt_threshold,E2,AUC,0.143,16.842271088140375,16.854708585809384,0.07384691532347111
hp_e2_lh_scale,P4,AUC,0.376,55.24403546337959,55.284593026414086,0.07341527948547849
hp_cl_self_scale,E2,AUC,0.0335,16.842271088140375,16.82997475192533,-0.07300877744274584
liver_usage_rate,P4,AUC,5.0,55.24403546337959,55.20431756392014,-0.07189536232517862
cl_to_p4_scale,CL,AUC,2.25,44.47711481761466,44.445208753680056,-0.07173591197505065
blood_to_liver_glucose_threshold,IGF1,AUC,0.45,29.40509795337114,29.426100625835918,0.07142527631801487
hp_oxt_pg_threshold,Follicle,AUC,1.087,19.277313178356533,19.291022115982706,0.07111435862112275
glucagon_secretion_max,Glucose,AUC,70182.0,42.87980691299765,42.9101797526799,0.07083250105084807
glucagon_clearance,Glucose,AUC,350.87,42.87980691299765,42.84947574311606,-0.07073532290649812
