parameter,day,n_biomarkers,biomarkers,ess,ess_fraction,prior_variance,posterior_variance,variance_reduction_fraction,prior_90_width,posterior_90_width,interval_reduction_fraction,weight_warning
hp_iof_threshold,69,3,P4|IGF1|Glucagon,8369.632278158491,0.16739264556316982,0.0027649486829496475,0.0027767395947931517,-0.0042644233928152975,0.16382136980779238,0.1638842905165523,-0.0003840812027986473,informative
hp_iof_threshold,69,4,P4|IGF1|Glucagon|E2,6066.962675591894,0.12133925351183789,0.0027649486829496475,0.002794181682037483,-0.010572709456817098,0.16382136980779238,0.16459202434218634,-0.004704236909373494,informative
hp_iof_threshold,69,5,P4|IGF1|Glucagon|E2|Glucose,6054.079168932428,0.12108158337864855,0.0027649486829496475,0.0027943256541649534,-0.010624779908742,0.16382136980779238,0.1645927525733939,-0.004708682185398327,informative
hp_iof_threshold,69,6,P4|IGF1|Glucagon|E2|Glucose|PGF,6028.318604139427,0.12056637208278854,0.0027649486829496475,0.002793603814744944,-0.010363711982070756,0.16382136980779238,0.16457271628518133,-0.00458637647988458,informative
hp_iof_threshold,69,7,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin,3685.210106133731,0.07370420212267462,0.0027649486829496475,0.0027865923239570683,-0.007827863548024894,0.16382136980779238,0.16442834492089853,-0.003705103392910747,informative
hp_iof_threshold,69,8,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin|INH,2674.987120650462,0.05349974241300924,0.0027649486829496475,0.00277918652705986,-0.005149406279404634,0.16382136980779238,0.1641371094352586,-0.0019273409069688885,informative
hp_iof_threshold,69,9,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin|INH|FSH,423.3565211605642,0.008467130423211285,0.0027649486829496475,0.002788813835592939,-0.008631318472729133,0.16382136980779238,0.16727729198407393,-0.021095673783806612,collapsed
insulin_igf_threshold,65,1,IGF1,8178.312919916288,0.16356625839832575,0.187242177549249,0.1874674260967345,-0.0012029797475852089,1.3491993865863687,1.353605171977902,-0.0032654813182806386,informative
insulin_igf_threshold,65,2,IGF1|Insulin,2958.2865990957102,0.0591657319819142,0.187242177549249,0.18663008040975837,0.0032690131438448677,1.3491993865863687,1.35344880004933,-0.003149581526058043,informative
insulin_igf_threshold,65,3,IGF1|Insulin|E2,1209.0544544329678,0.024181089088659354,0.187242177549249,0.1936535297805549,-0.03424096170650204,1.3491993865863687,1.3658278524014467,-0.012324691206056615,informative
insulin_igf_threshold,65,4,IGF1|Insulin|E2|INH,702.2713431066081,0.014045426862132162,0.187242177549249,0.1955824436893442,-0.04454266794617645,1.3491993865863687,1.366116709765345,-0.012538786592379836,collapsed
insulin_igf_threshold,65,5,IGF1|Insulin|E2|INH|PGF,702.2678803419523,0.014045357606839046,0.187242177549249,0.19558262334739712,-0.04454362744181606,1.3491993865863687,1.3661167141798192,-0.012538789864301014,collapsed
insulin_igf_threshold,65,6,IGF1|Insulin|E2|INH|PGF|FSH,702.247470745264,0.01404494941490528,0.187242177549249,0.19558561469569857,-0.044559603267031456,1.3491993865863687,1.3661167492754522,-0.012538815876492748,collapsed
insulin_igf_threshold,65,7,IGF1|Insulin|E2|INH|PGF|FSH|Glucose,700.3467995360857,0.014006935990721713,0.187242177549249,0.19554623654086065,-0.04434929725930736,1.3491993865863687,1.3661162995988558,-0.012538482585060295,collapsed
insulin_igf_threshold,65,8,IGF1|Insulin|E2|INH|PGF|FSH|Glucose|Glucagon,670.3071262029179,0.013406142524058357,0.187242177549249,0.19526309038579787,-0.04283710508781713,1.3491993865863687,1.3681922089264358,-0.01407710567384779,collapsed
insulin_igf_threshold,65,9,IGF1|Insulin|E2|INH|PGF|FSH|Glucose|Glucagon|P4,596.4739280478511,0.011929478560957022,0.187242177549249,0.19651091392500064,-0.04950132762322612,1.3491993865863687,1.3714214106483666,-0.016470526360245596,collapsed
feed_direct_blood_fraction,64,1,P4,7212.02308500687,0.1442404617001374,5.314937078860834e-06,5.26959013794631e-06,0.008531980763212266,0.007202663601715911,0.007171464729543928,0.004331574247692371,informative
feed_direct_blood_fraction,64,2,P4|PGF,6470.323467846614,0.12940646935693229,5.314937078860834e-06,5.274967434600883e-06,0.007520247872533248,0.007202663601715911,0.007173119739528042,0.004101796754860443,informative
feed_direct_blood_fraction,64,3,P4|PGF|INH,1025.4493817251348,0.020508987634502696,5.314937078860834e-06,5.18749070857459e-06,0.023978904810207036,0.007202663601715911,0.0071050123881605115,0.013557652967734923,informative
feed_direct_blood_fraction,64,4,P4|PGF|INH|E2,420.83965458032617,0.008416793091606523,5.314937078860834e-06,5.154790430200812e-06,0.030131428892540613,0.007202663601715911,0.0070363037340351875,0.023096992568289787,collapsed
feed_direct_blood_fraction,64,5,P4|PGF|INH|E2|Insulin,314.5405641681399,0.006290811283362798,5.314937078860834e-06,4.99386177492503e-06,0.060409991533638574,0.007202663601715911,0.0070282102919959205,0.02422066604338291,collapsed
feed_direct_blood_fraction,64,6,P4|PGF|INH|E2|Insulin|Glucagon,302.009079811155,0.0060401815962231,5.314937078860834e-06,5.0039697095452885e-06,0.05850819392620099,0.007202663601715911,0.007028134767944352,0.02423115161590783,collapsed
feed_direct_blood_fraction,64,7,P4|PGF|INH|E2|Insulin|Glucagon|FSH,301.9483386340613,0.006038966772681226,5.314937078860834e-06,4.999669081629419e-06,0.05931735268990013,0.007202663601715911,0.007028166438665884,0.024226754531262107,collapsed
feed_direct_blood_fraction,64,8,P4|PGF|INH|E2|Insulin|Glucagon|FSH|Glucose,300.88859312204517,0.006017771862440903,5.314937078860834e-06,4.9952847199347496e-06,0.060142265878827095,0.007202663601715911,0.007028175147051605,0.024225545480527244,collapsed
feed_direct_blood_fraction,64,9,P4|PGF|INH|E2|Insulin|Glucagon|FSH|Glucose|IGF1,231.88582206008533,0.004637716441201706,5.314937078860834e-06,5.301939923799207e-06,0.002445401491829702,0.007202663601715911,0.007029844302091706,0.023993804123107143,collapsed
lh_basal_release,62,1,IGF1,17918.155547028913,0.35836311094057827,1.6482660316350985e-07,1.6545795070457987e-07,-0.0038303740352139126,0.0012660112016096101,0.0012691576559192511,-0.002485328965210254,informative
lh_basal_release,62,2,IGF1|P4,17539.212120166892,0.35078424240333783,1.6482660316350985e-07,1.653779583744196e-07,-0.003345062024743717,0.0012660112016096101,0.001268969175031956,-0.0023364512245902525,informative
lh_basal_release,62,3,IGF1|P4|Glucagon,17060.39333579633,0.34120786671592657,1.6482660316350985e-07,1.653587642902565e-07,-0.0032286118656388307,0.0012660112016096101,0.001268648878821584,-0.002083454876718571,informative
lh_basal_release,62,4,IGF1|P4|Glucagon|Insulin,9437.902577233459,0.18875805154466918,1.6482660316350985e-07,1.6570177448485048e-07,-0.005309648470231743,0.0012660112016096101,0.001270958612442613,-0.003907872874041596,informative
lh_basal_release,62,5,IGF1|P4|Glucagon|Insulin|E2,183.31950734653068,0.0036663901469306138,1.6482660316350985e-07,1.4935783686228795e-07,0.0938487234726102,0.0012660112016096101,0.0012461041938555666,0.015724195590634316,collapsed
lh_basal_release,62,6,IGF1|P4|Glucagon|Insulin|E2|INH,116.98875774644976,0.002339775154928995,1.6482660316350985e-07,1.4329409534486453e-07,0.13063733284174295,0.0012660112016096101,0.0012203336576063466,0.036079889297337076,collapsed
lh_basal_release,62,7,IGF1|P4|Glucagon|Insulin|E2|INH|PGF,116.60392405464341,0.0023320784810928682,1.6482660316350985e-07,1.4342499572689563e-07,0.12984316260757733,0.0012660112016096101,0.0012203422649856611,0.03607309047967777,collapsed
lh_basal_release,62,8,IGF1|P4|Glucagon|Insulin|E2|INH|PGF|Glucose,116.20026153501883,0.0023240052307003764,1.6482660316350985e-07,1.4325150758567643e-07,0.13089571200123973,0.0012660112016096101,0.0012203388964087177,0.03607575125940787,collapsed
lh_basal_release,62,9,IGF1|P4|Glucagon|Insulin|E2|INH|PGF|Glucose|FSH,98.88714356378982,0.0019777428712757965,1.6482660316350985e-07,1.3318250062656874e-07,0.19198419387160337,0.0012660112016096101,0.00120208777330383,0.05049199266523685,collapsed
