parameter,prior_90_width,posterior_90_width,interval_reduction_fraction,biomarkers,method,source_file,computational_cost,interpretation,posterior_median,scenario
insulin_igf_threshold,1.3490788348546818,1.3446499854289655,0.0032828692521837,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,14.998599912020635,gsa_uncertainty_guided
feed_direct_blood_fraction,0.007202420746582,0.0071379344347202,0.0089534219300352,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.0800570133077798,gsa_uncertainty_guided
lh_basal_release,0.0012659147656591,0.001271589089067,-0.0044823897799315,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.0140730204280979,gsa_uncertainty_guided
insulin_glucose_threshold,0.0449902041597206,0.0156592202702615,0.651941560107854,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.4807823181404672,independent_1_Insulin_day_65
inhibin_clearance,0.0427095577452519,0.0435077381364261,-0.0186885660566906,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.4754556703559938,independent_1_Insulin_day_65
hp_p4_follicle_scale,0.0989297006021128,0.0987326152624308,0.0019921756407071,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,1.0997457856728865,independent_1_Insulin_day_65
blood_to_liver_glucose_threshold,0.0404292725144262,0.0389388762797107,0.0368642852572654,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.4563130296552814,independent_1_Insulin_day_65
gnrh_clearance,0.1467963021936735,0.1467251445128701,0.0004847375563287,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,1.6333822855163147,independent_1_Insulin_day_65
hp_iof_threshold,0.1638162214239886,0.1606750118580215,0.0191752046205303,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,1.8208428459101955,independent_1_Insulin_day_65
insulin_igf_threshold,1.3490788348546818,1.3633977237365205,-0.0106138266437045,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,15.0082897857668,independent_1_Insulin_day_65
feed_direct_blood_fraction,0.007202420746582,0.0072416982573331,-0.005453376320688,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.0800338467668233,independent_1_Insulin_day_65
lh_basal_release,0.0012659147656591,0.0012689147875657,-0.002369845101694,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.0140837655855429,independent_1_Insulin_day_65
insulin_glucose_threshold,0.0449902041597206,0.0441791534132342,0.0180272741952243,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.4996577534323133,independent_2_Glucose_day_65
inhibin_clearance,0.0427095577452519,0.0426143117694599,0.0022300857424016,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.4748319422361267,independent_2_Glucose_day_65
hp_p4_follicle_scale,0.0989297006021128,0.0988937830542662,0.0003630613216051,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,1.0982360591689957,independent_2_Glucose_day_65
blood_to_liver_glucose_threshold,0.0404292725144262,0.0402064337412503,0.0055118175350892,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.4514273383757133,independent_2_Glucose_day_65
gnrh_clearance,0.1467963021936735,0.1484008230375526,-0.0109302538272535,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,1.6288433993511695,independent_2_Glucose_day_65
