biomarker,day,q05,median,q95,interval_width,samples
E2,67,0.12743350954540722,0.1686509673440178,0.23445720842568682,0.1070236988802796,7874
E2,68,0.037465352615104905,0.04972607349846975,0.06939558890383735,0.03193023628873244,7874
E2,69,0.010971189781800415,0.01458911848051445,0.02039472095389134,0.009423531172090924,7874
E2,70,0.0032081260822534948,0.00426965537061755,0.005973986528101214,0.0027658604458477196,7874
E2,71,0.00142660939502551,0.00154025396983005,0.00186204458471458,0.00043543518968906987,7874
E2,72,0.005865091009743211,0.014894983781357451,0.029217820506354963,0.023352729496611754,7874
E2,73,0.06285946975753577,0.09825468628497219,0.1322490393154684,0.06938956955793261,7874
E2,74,0.17719172576679446,0.20671946403557806,0.22150610623375572,0.04431438046696126,7874
E2,75,0.1512718459842448,0.1812917281197907,0.2080935806825427,0.05682173469829788,7874
E2,76,0.05775030161963301,0.07630157320908015,0.10378787421170595,0.04603757259207294,7874
E2,77,0.01914582903630383,0.02548713116314855,0.03606783793456625,0.016922008898262418,7874
E2,78,0.012922867698696695,0.01381744304452085,0.01859287658648711,0.005670008887790415,7874
E2,79,0.03666779256689234,0.061956561047087244,0.09068892540825799,0.05402113284136564,7874
E2,80,0.13549135081441788,0.1726328535844594,0.1991557577054427,0.06366440689102482,7874
E2,81,0.18453508626116832,0.2062796064295894,0.21553980128621483,0.03100471502504651,7874
E2,82,0.08004467885730178,0.1041996717665758,0.13717990461506557,0.057135225757763794,7874
E2,83,0.027018510904536264,0.036391626681342396,0.05132073799472087,0.02430222709018461,7874
E2,84,0.01461768201069863,0.01538785130428355,0.01799272688820299,0.0033750448775043615,7874
E2,85,0.03816885592268853,0.0907612114831983,0.17888513714758986,0.14071628122490132,7874
E2,86,0.37867820247168843,0.6363767838905243,0.9216188315803806,0.5429406291086922,7874
E2,87,1.053487087533066,1.2917574512888723,1.3594428340276299,0.3059557464945639,7874
E2,88,0.3425145992930543,0.5001329417207321,0.7662540297002459,0.42373943040719164,7874
E2,89,0.10164488766834509,0.1497774077880677,0.23643262379455618,0.1347877361262111,7874
E2,90,0.02984753474288944,0.0441122868593097,0.06999715021132834,0.0401496154684389,7874
INH,55,0.1140224138140585,0.12353238874550145,0.13525360468325373,0.021231190869195227,7874
INH,56,0.07700113927284823,0.08066269285361341,0.08661612993405664,0.009614990661208411,7874
INH,57,0.08020259513540197,0.0899805041309734,0.1024316446907253,0.02222904955532333,7874
INH,58,0.15614924282656453,0.18153567939254617,0.20384440584399624,0.04769516301743171,7874
INH,59,0.2524993489437648,0.2614529777553921,0.2670875675984097,0.01458821865464488,7874
INH,60,0.20066232386809715,0.21524906278605244,0.23058428453153557,0.029921960663438413,7874
INH,61,0.1298057925874955,0.1411873154692062,0.15463748057691612,0.02483168798942062,7874
INH,62,0.08484341768923073,0.0905548374020361,0.09856775349037432,0.013724335801143586,7874
INH,63,0.08702876528507268,0.1072001837753496,0.14004918195423519,0.053020416669162504,7874
INH,64,0.3543071037441768,0.5012274094231457,0.6612440483628068,0.30693694461863,7874
INH,65,1.2492184037630152,1.3541767338189845,1.377386956564244,0.12816855280122885,7874
INH,66,0.9224640637883359,1.0344747056078027,1.176408030437987,0.253943966649651,7874
INH,67,0.5757786700549039,0.6484816456862763,0.7451370173532261,0.16935834729832222,7874
INH,68,0.3581079571422171,0.40386224224948064,0.4645919563492161,0.10648399920699897,7874
INH,69,0.22260455190769993,0.2512293578072575,0.2891491406818127,0.06654458877411276,7874
INH,70,0.13832516918119298,0.1562355835264846,0.17992951819547828,0.04160434901428531,7874
INH,71,0.08660840131797817,0.0973133179618247,0.11197273308314834,0.025364331765170167,7874
INH,72,0.0711008250786854,0.072403737996621,0.07640944274017078,0.005308617661485382,7874
INH,73,0.09542410718574919,0.12244994055527975,0.15180872911211138,0.05638462192636219,7874
INH,74,0.1965757912909181,0.2321633428420823,0.25668473371516004,0.060108942424241946,7874
INH,75,0.24364417630007543,0.2589398517072071,0.2676560949305438,0.024011918630468393,7874
INH,76,0.16524976054129228,0.18480764725661813,0.20859475253395166,0.04334499199265937,7874
INH,77,0.10487063089928075,0.11809429392849219,0.1354620559504597,0.030591425051178955,7874
INH,78,0.07517559165981166,0.0783699219106183,0.08673591909110788,0.011560327431296216,7874
INH,79,0.08000802984143074,0.0956559619121791,0.11713777088802056,0.03712974104658982,7874
INH,80,0.15542636969620635,0.19264331462159479,0.22354720434846745,0.0681208346522611,7874
INH,81,0.2521386254138933,0.26068405079996537,0.26608847669365776,0.013949851279764447,7874
INH,82,0.18662329403236394,0.207456333446679,0.23060397766111523,0.043980683628751294,7874
INH,83,0.11962071122128577,0.13501595507111375,0.15491580914532152,0.03529509792403575,7874
INH,84,0.08142219599228605,0.0872829254757681,0.09872928869120745,0.017307092698921403,7874
INH,85,0.08674450045093907,0.12121372118826315,0.18735433620077963,0.10060983574984056,7874
INH,86,0.35095990612024686,0.5763912712141819,0.8400259627071668,0.48906605658691993,7874
INH,87,1.244708863459932,1.3503164781691122,1.3826202727279429,0.13791140926801093,7874
INH,88,0.8457547140593359,0.9896403327521707,1.1797872901151985,0.33403257605586256,7874
INH,89,0.5273401992036516,0.6192255867371601,0.7476777526640963,0.2203375534604447,7874
INH,90,0.327941825294672,0.3855807114686241,0.46618428358175973,0.13824245828708775,7874
IGF1,55,0.23650733546438477,0.2381341310367796,0.23977209811872913,0.003264762654344361,7874
IGF1,56,0.23572707592581005,0.2373486376059074,0.238974325518766,0.003247249592955942,7874
IGF1,57,0.23518340857641157,0.2368016938817637,0.23842093715193594,0.0032375285755243677,7874
IGF1,58,0.23478969183879037,0.23641227645952112,0.23803129527256556,0.003241603433775192,7874
IGF1,59,0.23450632349908856,0.2361319182979849,0.2377466594141715,0.003240335915082937,7874
IGF1,60,0.2355366176079039,0.23824146894913076,0.243127989012094,0.0075913714041901115,7874
