candidate,columns,n_columns,n_samples,mi_nats
E2_day_89,E2_day_89,1,7874,0.2160205509670856
INH_day_89,INH_day_89,1,7874,0.2160141383484575
E2_day_88,E2_day_88,1,7874,0.21529389431183432
E2_day_80,E2_day_80,1,7874,0.21515172414779826
PGF_day_89,PGF_day_89,1,7874,0.21463576734730339
FSH_day_74,FSH_day_74,1,7874,0.21450943626977192
E2_day_69,E2_day_69,1,7874,0.2143550063001065
IGF1_day_61,IGF1_day_61,1,7874,0.21397263267919797
PGF_day_82,PGF_day_82,1,7874,0.21389020750790344
INH_day_80,INH_day_80,1,7874,0.21380523448164546
E2_day_90,E2_day_90,1,7874,0.21325732156038235
E2_day_68,E2_day_68,1,7874,0.21261812294825333
FSH_day_75,FSH_day_75,1,7874,0.21252967997545902
PGF_day_90,PGF_day_90,1,7874,0.2124972826627456
IGF1_day_88,IGF1_day_88,1,7874,0.2104731690237749
E2_day_77,E2_day_77,1,7874,0.21010565407934223
P4_day_85,P4_day_85,1,7874,0.21004898582741482
PGF_day_62,PGF_day_62,1,7874,0.21001669329843153
E2_day_67,E2_day_67,1,7874,0.20807114738011023
P4_day_63,P4_day_63,1,7874,0.2076179183852105
INH_day_66,INH_day_66,1,7874,0.20715821603038975
INH_day_90,INH_day_90,1,7874,0.20712388870267517
INH_day_79,INH_day_79,1,7874,0.20640247232368658
FSH_day_60,FSH_day_60,1,7874,0.2062415498075314
INH_day_67,INH_day_67,1,7874,0.2061013760735726
E2_day_72,E2_day_72,1,7874,0.20596843023548495
FSH_day_71,FSH_day_71,1,7874,0.2058561734025126
PGF_day_63,PGF_day_63,1,7874,0.20567377782997198
FSH_day_63,FSH_day_63,1,7874,0.20498498014898026
PGF_day_61,PGF_day_61,1,7874,0.20425429118712302
INH_day_68,INH_day_68,1,7874,0.20372604422378693
INH_day_58,INH_day_58,1,7874,0.2036451331922411
E2_day_76,E2_day_76,1,7874,0.2032211396702266
E2_day_58,E2_day_58,1,7874,0.2030844100938527
E2_day_87,E2_day_87,1,7874,0.2026716539195288
FSH_day_81,FSH_day_81,1,7874,0.20230282074279593
FSH_day_69,FSH_day_69,1,7874,0.20070182936144576
E2_day_66,E2_day_66,1,7874,0.20063242444871499
P4_day_87,P4_day_87,1,7874,0.20014438744156848
FSH_day_78,FSH_day_78,1,7874,0.20009671151266772
PGF_day_64,PGF_day_64,1,7874,0.19887380476815686
PGF_day_69,PGF_day_69,1,7874,0.19858956563310848
PGF_day_66,PGF_day_66,1,7874,0.1980088075112434
IGF1_day_82,IGF1_day_82,1,7874,0.197737590948865
E2_day_79,E2_day_79,1,7874,0.1977003974459386
FSH_day_70,FSH_day_70,1,7874,0.19765851502121023
INH_day_69,INH_day_69,1,7874,0.1972131531722212
PGF_day_65,PGF_day_65,1,7874,0.19662782522838818
PGF_day_70,PGF_day_70,1,7874,0.19659191971348022
PGF_day_72,PGF_day_72,1,7874,0.1962844919604727
PGF_day_71,PGF_day_71,1,7874,0.19618829538045013
PGF_day_68,PGF_day_68,1,7874,0.19532785661434993
E2_day_86,E2_day_86,1,7874,0.1937849507455116
E2_day_75,E2_day_75,1,7874,0.1937812489357249
FSH_day_88,FSH_day_88,1,7874,0.19349552046396923
PGF_day_67,PGF_day_67,1,7874,0.19322376731037139
FSH_day_89,FSH_day_89,1,7874,0.1930904811749965
FSH_day_80,FSH_day_80,1,7874,0.19284149936988548
PGF_day_74,PGF_day_74,1,7874,0.19269738816260684
INH_day_57,INH_day_57,1,7874,0.19258929471608255
E2_day_55,E2_day_55,1,7874,0.19197099662065398
E2_day_83,E2_day_83,1,7874,0.19157334776004475
PGF_day_60,PGF_day_60,1,7874,0.19150027343034637
INH_day_70,INH_day_70,1,7874,0.19149889159448819
FSH_day_87,FSH_day_87,1,7874,0.19147288662906092
FSH_day_59,FSH_day_59,1,7874,0.19127968849985422
E2_day_82,E2_day_82,1,7874,0.1912096481035448
E2_day_62,E2_day_62,1,7874,0.19089849734688968
INH_day_86,INH_day_86,1,7874,0.190654981006821
INH_day_71,INH_day_71,1,7874,0.19062076492057933
FSH_day_86,FSH_day_86,1,7874,0.19003559932171932
IGF1_day_65,IGF1_day_65,1,7874,0.1891035278275428
FSH_day_56,FSH_day_56,1,7874,0.18867015064884463
INH_day_77,INH_day_77,1,7874,0.18801115732399154
FSH_day_77,FSH_day_77,1,7874,0.18752789167117712
IGF1_day_66,IGF1_day_66,1,7874,0.18688023243904794
E2_day_85,E2_day_85,1,7874,0.1863594481505011
FSH_day_84,FSH_day_84,1,7874,0.1857296696802777
INH_day_76,INH_day_76,1,7874,0.18450927719244703
INH_day_85,INH_day_85,1,7874,0.18246461350773835
P4_day_86,P4_day_86,1,7874,0.18051275639921371
INH_day_64,INH_day_64,1,7874,0.17909106556360577
FSH_day_58,FSH_day_58,1,7874,0.17906959621242713
E2_day_57,E2_day_57,1,7874,0.17853974650642357
INH_day_83,INH_day_83,1,7874,0.17767264809617167
IGF1_day_73,IGF1_day_73,1,7874,0.1772470007943685
INH_day_78,INH_day_78,1,7874,0.17696746051099765
E2_day_64,E2_day_64,1,7874,0.17561306297111123
FSH_day_83,FSH_day_83,1,7874,0.17404876898376465
PGF_day_58,PGF_day_58,1,7874,0.1739549208661728
P4_day_65,P4_day_65,1,7874,0.17382170850722822
INH_day_82,INH_day_82,1,7874,0.17347685934138468
INH_day_63,INH_day_63,1,7874,0.17337925462444304
E2_day_60,E2_day_60,1,7874,0.17151200609352912
E2_day_61,E2_day_61,1,7874,0.1713120298284494
P4_day_64,P4_day_64,1,7874,0.17061016680445995
FSH_day_65,FSH_day_65,1,7874,0.17023314540729295
E2_day_65,E2_day_65,1,7874,0.16979728379130954
FSH_day_67,FSH_day_67,1,7874,0.16965368063476127
FSH_day_66,FSH_day_66,1,7874,0.1673003045539101
FSH_day_55,FSH_day_55,1,7874,0.16474749148354206
E2_day_63,E2_day_63,1,7874,0.16262272292235203
FSH_day_73,FSH_day_73,1,7874,0.1624787386365547
E2_day_81,E2_day_81,1,7874,0.161806408892053
INH_day_55,INH_day_55,1,7874,0.1599882756553157
INH_day_84,INH_day_84,1,7874,0.1587333282716905
IGF1_day_87,IGF1_day_87,1,7874,0.15834578703603164
FSH_day_64,FSH_day_64,1,7874,0.15719715310544302
FSH_day_62,FSH_day_62,1,7874,0.15669024009157617
E2_day_78,E2_day_78,1,7874,0.1554842570403796
IGF1_day_60,IGF1_day_60,1,7874,0.1521999392960236
FSH_day_61,FSH_day_61,1,7874,0.15216131586929293
INH_day_75,INH_day_75,1,7874,0.14954494267956697
PGF_day_80,PGF_day_80,1,7874,0.14411831493477223
INH_day_56,INH_day_56,1,7874,0.14364107126099768
INH_day_61,INH_day_61,1,7874,0.14092196700758564
INH_day_65,INH_day_65,1,7874,0.13379062493059735
INH_day_72,INH_day_72,1,7874,0.12674857897645708
IGF1_day_74,IGF1_day_74,1,7874,0.12536893160393703
INH_day_60,INH_day_60,1,7874,0.12245573633716589
INH_day_62,INH_day_62,1,7874,0.12187494197830695
INH_day_81,INH_day_81,1,7874,0.11386894079785037
PGF_day_76,PGF_day_76,1,7874,0.11315670076593953
E2_day_56,E2_day_56,1,7874,0.11080942684852069
E2_day_59,E2_day_59,1,7874,0.10550949682374622
IGF1_day_75,IGF1_day_75,1,7874,0.07840472863711767
FSH_day_85,FSH_day_85,1,7874,0.06649956138488733
INH_day_87,INH_day_87,1,7874,0.061289055895949573
PGF_day_77,PGF_day_77,1,7874,0.053748122791214215
PGF_day_78,PGF_day_78,1,7874,0.05250389120136134
PGF_day_79,PGF_day_79,1,7874,0.05123483679390617
E2_day_84,E2_day_84,1,7874,0.0425100392703186
PGF_day_73,PGF_day_73,1,7874,0.04042231225363402
FSH_day_76,FSH_day_76,1,7874,0.040262168601158166
IGF1_day_76,IGF1_day_76,1,7874,0.03821144328647996
E2_day_71,E2_day_71,1,7874,0.024006540801249088
Glucagon_day_70,Glucagon_day_70,1,7874,0.020388761599122063
Glucagon_day_69,Glucagon_day_69,1,7874,0.020388761599122063
Glucagon_day_56,Glucagon_day_56,1,7874,0.020388761599122063
Glucagon_day_71,Glucagon_day_71,1,7874,0.020388761599122063
