admissible,penalty,min_correlation,max_average_difference,max_norm_difference,worst_species
True,0.0,0.990273938381288,0.14478447037572953,0.05002526583139497,FSH
False,0.05014681489601047,0.9692779160863866,0.3223934845202819,0.17225423061370088,PGF
False,0.0680067557932173,0.9710286591354094,0.326078104952856,0.2031812096643094,PGF
False,1.0564438519520682,0.8791654937296465,0.40278345450275876,0.05719118027272674,PGF
True,0.0,0.9717784402624055,0.2992428016731811,0.15940923628503711,FSH
True,0.0,0.9812075546232395,0.22313715776999346,0.09537831323778155,FSH
False,0.0024412637080073055,0.9701857602915236,0.3049409145995527,0.15619197919446198,PGF
False,0.10494625070073521,0.9150460860484494,0.33239540873345097,0.01878829191652212,PGF
True,0.0,0.9897894001302062,0.17097771014123747,0.09596597096215506,FSH
False,0.3188369456934752,0.9014923695876682,0.35646564846820367,0.09661043137708412,PGF
False,0.06792513020674767,0.9683682438559419,0.3260624500396159,0.14909900854184782,PGF
False,1.7891364555226594,0.8650954851334837,0.43375860553708906,0.058346269899029225,PGF
True,0.0,0.9997391942183109,0.021078539512622632,0.016540860970836364,FSH
True,0.0,0.9972068018663628,0.09471492152224285,0.05290682131488367,FSH
True,0.0,0.9837718854009609,0.19395230332816987,0.08815505324915872,FSH
False,9.612843977927274e-05,0.970809794383754,0.3009804511195326,0.14581486411590175,PGF
False,0.669693488836568,0.8863273616644557,0.38183480242760826,0.0598989555355534,PGF
True,0.0,0.9746318606024643,0.2759548712101764,0.1462506989840641,FSH
False,0.006801682400408649,0.9570833362068752,0.3082472312932333,0.06125975449010699,PGF
False,8.903502188351062,0.7892696673089714,0.598387368840423,0.13480543201738773,PGF
True,0.0,0.9710793395468443,0.19588847802254106,0.016628142372778917,FSH
True,0.0,0.9997094350793259,0.02614812730369726,0.013465782127320263,FSH
True,0.0,0.9767966945520145,0.26425322652156263,0.15375256494098669,FSH
False,0.05113271435307797,0.9396999257429282,0.322612543942042,0.03714518449960177,PGF
False,0.2773602023008548,0.9062482870399313,0.3526649980822989,0.07515982786445599,PGF
True,0.0,0.9968047243195834,0.07399282305604352,0.031857868428543434,FSH
False,4.034066587705051,0.8338935523732197,0.5008498590416496,0.08782808378647054,PGF
True,0.0,0.9952234003844589,0.1133724035164824,0.05965185366158046,FSH
