biomarker,parameter,prcc,abs_prcc,samples,identifiability_class,spearman_rho,abs_spearman_rho
IGF1,hp_iof_threshold,-0.031363148732943186,0.031363148732943186,7874,Boundary-limited,-0.0021852464313518566,0.0021852464313518566
IGF1,inhibin_clearance,0.5102922834171371,0.5102922834171371,7874,Practically identifiable,-0.022082551641481263,0.022082551641481263
IGF1,insulin_igf_threshold,-0.4586572638395245,0.4586572638395245,7874,Weak/flat,-0.0898696543221203,0.0898696543221203
IGF1,feed_direct_blood_fraction,0.024078280121063476,0.024078280121063476,7874,Weak/flat,-0.004029464968415641,0.004029464968415641
IGF1,blood_to_liver_glucose_threshold,0.4789636155319269,0.4789636155319269,7874,Boundary-limited,0.03210187898570713,0.03210187898570713
IGF1,insulin_glucose_threshold,-0.9091126133627241,0.9091126133627241,7874,Practically identifiable,-0.28482900323020316,0.28482900323020316
Insulin,gnrh_clearance,0.0036150283857901764,0.0036150283857901764,7874,Boundary-limited,0.0011969428418785227,0.0011969428418785227
Insulin,lh_basal_release,0.0017295924134290287,0.0017295924134290287,7874,Weak/flat,0.0004736536666071705,0.0004736536666071705
Insulin,hp_p4_follicle_scale,0.04548858060004527,0.04548858060004527,7874,Practically identifiable,-0.07324078290584891,0.07324078290584891
Insulin,hp_iof_threshold,-0.014766353694142975,0.014766353694142975,7874,Boundary-limited,0.004427966685428995,0.004427966685428995
Insulin,inhibin_clearance,0.10120819092206826,0.10120819092206826,7874,Practically identifiable,-0.23246056568639906,0.23246056568639906
Insulin,insulin_igf_threshold,0.002917723448299913,0.002917723448299913,7874,Weak/flat,0.020092914750979834,0.020092914750979834
Insulin,feed_direct_blood_fraction,0.046486838918600476,0.046486838918600476,7874,Weak/flat,-0.005024002578667517,0.005024002578667517
Insulin,blood_to_liver_glucose_threshold,0.7752308133232063,0.7752308133232063,7874,Boundary-limited,0.09041787946405455,0.09041787946405455
Insulin,insulin_glucose_threshold,-0.9809883228462427,0.9809883228462427,7874,Practically identifiable,-0.7052830811426595,0.7052830811426595
Glucose,gnrh_clearance,-0.008115371306088266,0.008115371306088266,7874,Boundary-limited,0.007129297350633195,0.007129297350633195
Glucose,lh_basal_release,-0.015928139393936676,0.015928139393936676,7874,Weak/flat,0.0006647367740853317,0.0006647367740853317
Glucose,hp_p4_follicle_scale,-0.0057247268167314215,0.0057247268167314215,7874,Practically identifiable,-0.026684644125543805,0.026684644125543805
Glucose,hp_iof_threshold,0.0050010780524911164,0.0050010780524911164,7874,Boundary-limited,0.006786592594868701,0.006786592594868701
Glucose,inhibin_clearance,0.0024492323804012534,0.0024492323804012534,7874,Practically identifiable,-0.035474429166032155,0.035474429166032155
Glucose,insulin_igf_threshold,0.015250898191546151,0.015250898191546151,7874,Weak/flat,0.0014964947744003985,0.0014964947744003985
Glucose,feed_direct_blood_fraction,0.09176688562530336,0.09176688562530336,7874,Weak/flat,0.020474587040468617,0.020474587040468617
Glucose,blood_to_liver_glucose_threshold,0.8729568192933019,0.8729568192933019,7874,Boundary-limited,0.2163440668239444,0.2163440668239444
Glucose,insulin_glucose_threshold,0.9413856112562456,0.9413856112562456,7874,Practically identifiable,0.5978407316663665,0.5978407316663665
